Orgs,Months,Region,Years,Cost
Walt Disney Studios ,Drama  ,North  ,2008,1
20th Fox,Drama  ,South  ,2008,1
Other,Adventure,North  ,2008,1
Sony Pictures ,Comedy  ,North  ,2008,1
Walt Disney Studios ,Musical - Music,South  ,2008,1
Sony Pictures ,Drama  ,North  ,2008,1
Universal Pictures ,Thriller,North  ,2008,1
Other,Comedy  ,South  ,2008,1
Other,Comedy  ,North  ,2008,1
Other,Drama  ,North  ,2008,1
Other,Comedy  ,South  ,2008,1
Other,Adventure,South  ,2008,1
Walt Disney Studios ,Animation  ,South  ,2008,1
Other,Drama  ,North  ,2008,1
Other,Drama  ,North  ,2008,1
Other,Thriller,South  ,2008,1
Warner Bros. Pictures ,Family,South  ,2008,1
Universal Pictures ,Drama  ,North  ,2008,1
20th Fox,Romance,South  ,2008,1
Other,Comedy  ,North  ,2008,1
Sony Pictures ,Musical - Music,North  ,2008,1
Other,Drama  ,South  ,2008,1
20th Fox,Adventure,South  ,2008,1
Paramount Pictures ,Thriller,North  ,2008,1
Other,Thriller,North  ,2008,1
Warner Bros. Pictures ,Drama  ,North  ,2008,1
Other,Drama  ,North  ,2008,1
Other,Drama  ,East  ,2008,1
Other,Drama  ,North  ,2008,1
Universal Pictures ,Animation  ,South  ,2008,1
Sony Pictures ,Drama  ,South  ,2008,1
Warner Bros. Pictures ,Comedy  ,South  ,2008,1
Paramount Pictures ,Drama  ,South  ,2008,1
20th Fox,Family,South  ,2008,1
Walt Disney Studios ,Adventure,South  ,2008,1
Other,Adventure,South  ,2008,1
Universal Pictures ,Drama  ,South  ,2008,1
Other,Romance,South  ,2008,1
Paramount Pictures ,Drama  ,East  ,2008,1
Other,Drama  ,East  ,2008,1
20th Fox,Romance,South  ,2008,1
Sony Pictures ,Drama  ,South  ,2008,1
Other,Thriller,South  ,2009,1
Other,Drama  ,North  ,2009,1
Other,Historical,North  ,2009,1
Other,Thriller,South  ,2009,1
Sony Pictures ,Comedy  ,South  ,2009,1
Universal Pictures ,Family,South  ,2009,1
Other,Musical - Music,South  ,2009,1
Other,Documentary  ,East  ,2009,1
Sony Pictures ,Adventure,South  ,2009,1
Warner Bros. Pictures ,Family,South  ,2009,1
Other,Adventure,North  ,2009,1
Other,Thriller,North  ,2009,1
Other,Thriller,North  ,2009,1
Universal Pictures ,Horror,South  ,2009,1
Other,Comedy  ,South  ,2009,1
20th Fox,Adventure,South  ,2009,1
Sony Pictures ,Drama  ,North  ,2009,1
Universal Pictures ,Animation  ,South  ,2009,1
Sony Pictures ,Family,South  ,2009,1
Warner Bros. Pictures ,Romance,South  ,2009,1
Other,Thriller,South  ,2009,1
Other,Adventure,North  ,2009,1
Other,Drama  ,East  ,2009,1
Other,Thriller,East  ,2009,1
